"movie_name","movie_year","category"
"Indiana Jones and the Last Crusade","1989","top rated movies"
"Up","2009","top rated movies"
"L.A. Confidential","1997","top rated movies"
"Heat","1995","top rated movies"
"Monty Python and the Holy Grail","1975","top rated movies"
"Die Hard","1988","top rated movies"
"Rashomon","1950","top rated movies"
"Yojimbo","1961","top rated movies"
"Batman Begins","2005","top rated movies"
"Anand","1971","top rated movies"
"Green Book","2018","top rated movies"
"Downfall","2004","top rated movies"
"Children of Heaven","1997","top rated movies"
"Unforgiven","1992","top rated movies"
"Some Like It Hot","1959","top rated movies"
"Ran","1985","top rated movies"
"Howl's Moving Castle","2004","top rated movies"
"A Beautiful Mind","2001","top rated movies"
"The Great Escape","1963","top rated movies"
"All About Eve","1950","top rated movies"
"Casino","1995","top rated movies"
"Pan's Labyrinth","2006","top rated movies"
"The Wolf of Wall Street","2013","top rated movies"
"The Secret in Their Eyes","2009","top rated movies"
"Lock, Stock and Two Smoking Barrels","1998","top rated movies"
"My Neighbor Totoro","1988","top rated movies"
"Raging Bull","1980","top rated movies"
"There Will Be Blood","2007","top rated movies"
"Judgment at Nuremberg","1961","top rated movies"
"The Treasure of the Sierra Madre","1948","top rated movies"
"Three Billboards Outside Ebbing, Missouri","2017","top rated movies"
"My Father and My Son","2005","top rated movies"
"Dial M for Murder","1954","top rated movies"
"The Gold Rush","1925","top rated movies"
"Chinatown","1974","top rated movies"
"V for Vendetta","2005","top rated movies"
"No Country for Old Men","2007","top rated movies"
"Shutter Island","2010","top rated movies"
"The Seventh Seal","1957","top rated movies"
"Inside Out","2015","top rated movies"
"Warrior","2011","top rated movies"
"The Elephant Man","1980","top rated movies"
"Trainspotting","1996","top rated movies"
"The Sixth Sense","1999","top rated movies"
"The Thing","1982","top rated movies"
"Jurassic Park","1993","top rated movies"
"Gone with the Wind","1939","top rated movies"
"Wild Strawberries","1957","top rated movies"
"Blade Runner","1982","top rated movies"
"Finding Nemo","2003","top rated movies"
"The Truman Show","1998","top rated movies"
"Room","2015","top rated movies"
"The Bridge on the River Kwai","1957","top rated movies"
"Stalker","1979","top rated movies"
"Kill Bill: Vol. 1","2003","top rated movies"
"Fargo","1996","top rated movies"
"Tokyo Story","1953","top rated movies"
"The Third Man","1949","top rated movies"
"On the Waterfront","1954","top rated movies"
"Gran Torino","2008","top rated movies"
"Memories of Murder","2003","top rated movies"
"The Deer Hunter","1978","top rated movies"
"Wild Tales","2014","top rated movies"
"Klaus","2019","top rated movies"
"Andhadhun","2018","top rated movies"
"In the Name of the Father","1993","top rated movies"
"Mary and Max","2009","top rated movies"
"Gone Girl","2014","top rated movies"
"Hacksaw Ridge","2016","top rated movies"
"The Grand Budapest Hotel","2014","top rated movies"
"The Big Lebowski","1998","top rated movies"
"Before Sunrise","1995","top rated movies"
"The Bandit","1996","top rated movies"
"Catch Me If You Can","2002","top rated movies"
"Persona","1966","top rated movies"
"To Be or Not to Be","1942","top rated movies"
"Ford v Ferrari","2019","top rated movies"
"The General","1926","top rated movies"
"Prisoners","2013","top rated movies"
"How to Train Your Dragon","2010","top rated movies"
"Sherlock Jr.","1924","top rated movies"
"Mr. Smith Goes to Washington","1939","top rated movies"
"12 Years a Slave","2013","top rated movies"
"Barry Lyndon","1975","top rated movies"
"Mad Max: Fury Road","2015","top rated movies"
"Network","1976","top rated movies"
"Stand by Me","1986","top rated movies"
"Million Dollar Baby","2004","top rated movies"
"Cool Hand Luke","1967","top rated movies"
"Hachi: A Dog's Tale","2009","top rated movies"
"Into the Wild","2007","top rated movies"
"Ben-Hur","1959","top rated movies"
"Dead Poets Society","1989","top rated movies"
"The Wages of Fear","1953","top rated movies"
"Platoon","1986","top rated movies"
"Harry Potter and the Deathly Hallows: Part 2","2011","top rated movies"
"Monty Python's Life of Brian","1979","top rated movies"
"Logan","2017","top rated movies"
"Rush","2013","top rated movies"
"Rififi","1955","top rated movies"
"The Handmaiden","2016","top rated movies"
"The 400 Blows","1959","top rated movies"
"The Passion of Joan of Arc","1928","top rated movies"
"Andrei Rublev","1966","top rated movies"
"Hotel Rwanda","2004","top rated movies"
"Spotlight","2015","top rated movies"
"Amores Perros","2000","top rated movies"
"Nausicaä of the Valley of the Wind","1984","top rated movies"
"Rang De Basanti","2006","top rated movies"
"Rocky","1976","top rated movies"
"La Haine","1995","top rated movies"
"Gangs of Wasseypur","2012","top rated movies"
"Monsters, Inc.","2001","top rated movies"
"Rebecca","1940","top rated movies"
"Portrait of a Lady on Fire","2019","top rated movies"
"Before Sunset","2004","top rated movies"
"It Happened One Night","1934","top rated movies"
"In the Mood for Love","2000","top rated movies"
"The Circus","1928","top rated movies"
"Drishyam","2015","top rated movies"
"Paris, Texas","1984","top rated movies"
"The Invisible Guest","2016","top rated movies"
"The Help","2011","top rated movies"
"The Princess Bride","1987","top rated movies"
"The Battle of Algiers","1966","top rated movies"
"The Terminator","1984","top rated movies"
"Neon Genesis Evangelion: The End of Evangelion","1997","top rated movies"
"Throne of Blood","1957","top rated movies"
"Three Colors: Red","1994","top rated movies"
"Hera Pheri","2000","top rated movies"
