"movie_name","movie_year","category"
"Whose Line Is It Anyway?","1998","top rated TV shows"
"Naruto: Shippûden","2007","top rated TV shows"
"Spartacus: Gods of the Arena","2011","top rated TV shows"
"Horace and Pete","2016","top rated TV shows"
"Hannibal","2013","top rated TV shows"
"The Office","2001","top rated TV shows"
"I'm Alan Partridge","1997","top rated TV shows"
"Mob Psycho 100","2016","top rated TV shows"
"Sons of Anarchy","2008","top rated TV shows"
"John Adams","2008","top rated TV shows"
"Erased","2016","top rated TV shows"
"Black Books","2000","top rated TV shows"
"Your Lie in April","2014","top rated TV shows"
"The New Batman Adventures","1997","top rated TV shows"
"The Punisher","2017","top rated TV shows"
"Spartacus","2010","top rated TV shows"
"My Brilliant Friend","2018","top rated TV shows"
"Ezel","2009","top rated TV shows"
"Clannad: After Story","2008","top rated TV shows"
"Dr. Horrible's Sing-Along Blog","2008","top rated TV shows"
"Community","2009","top rated TV shows"
"Queer Eye","2018","top rated TV shows"
"Guardian: The Lonely and Great God","2016","top rated TV shows"
"Vikings","2013","top rated TV shows"
"Hilda","2018","top rated TV shows"
"The Venture Bros.","2003","top rated TV shows"
"Feud: Bette and Joan","2017","top rated TV shows"
"Samurai Jack","2001","top rated TV shows"
"The Knick","2014","top rated TV shows"
"Delhi Crime","2019","top rated TV shows"
"My Hero Academia","2016","top rated TV shows"
"Luther","2010","top rated TV shows"
"Inside No. 9","2014","top rated TV shows"
"Kôkaku kidôtai: Stand Alone Complex","2002","top rated TV shows"
"Rurouni Kenshin: Wandering Samurai","1996","top rated TV shows"
"Romanzo Criminale","2008","top rated TV shows"
"The Family Man","2019","top rated TV shows"
