,movie_title,year,star_cast,rating
172,The Bridge on the River Kwai,1957,"David Lean (dir.), William Holden, Alec Guinness",8.101919797937423
173,Stalker,1979,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.10154107241907
174,Kill Bill: Vol 1,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.10096359648694
175,Fargo,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.098818743080344
176,Tôkyô monogatari,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.097112467786951
177,The Third Man,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.096749761359517
178,On the Waterfront,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.096271100572592
179,Gran Torino,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.09564936695174
180,Salinui chueok,2003,"Bong Joon Ho (dir.), Kang-ho Song, Sang-kyung Kim",8.095493318308097
181,The Deer Hunter,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.09256068485021
182,Relatos salvajes,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.09186287972834
183,Klaus,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.087896518422923
184,Andhadhun,2018,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",8.08636511254451
185,In the Name of the Father,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.084940738515298
186,Mary and Max,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.084677805802206
187,Gone Girl,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.082056050431929
188,Hacksaw Ridge,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.081214964777992
189,The Big Lebowski,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.080823331433828
190,The Grand Budapest Hotel,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.080790746081332
191,Before Sunrise,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.078856932476729
192,Eskiya,1996,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",8.078156682876436
193,Catch Me If You Can,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.077523049191523
194,Persona,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.076392396081664
195,Gevaarlijk spel,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.07582395631202
196,Le Mans '66,2019,"James Mangold (dir.), Matt Damon, Christian Bale",8.075180151348944
197,The General,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.071802350946491
198,Prisoners,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.071697097229377
199,How to Train Your Dragon,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.071642249223173
200,Sherlock Jr,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.071154445454185
201,Mr Smith Goes to Washington,1939,"Frank Capra (dir.), James Stewart, Jean Arthur",8.068557746732028
202,12 Years a Slave,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.065316520327029
203,Barry Lyndon,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.06253746618506
204,Mad Max: Fury Road,2015,"George Miller (dir.), Tom Hardy, Charlize Theron",8.061439705836838
205,Network,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.057664671769984
206,Stand by Me,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.05728993627643
207,Million Dollar Baby,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.056696802335468
208,Cool Hand Luke,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.056587089495082
209,Into the Wild,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.052892050678588
210,Hachi,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.052877125478059
211,Ben Hur,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.052815110773004
212,Dead Poets Society,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.052141111033215
213,Le salaire de la peur,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.051871371365747
214,Platoon,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.051380097312453
215,Harry Potter and the Deathly Hallows: Part 2,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.05095353641398
216,Monty Python's Life of Brian,1979,"Terry Jones (dir.), Graham Chapman, John Cleese",8.050466684026217
217,Logan,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.05005828109838
218,Rush,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.049737216202056
219,Du rififi chez les hommes,1955,"Jules Dassin (dir.), Jean Servais, Carl Möhner",8.04733987944352
220,Ah-ga-ssi,2016,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",8.04474513649095
221,La passion de Jeanne d'Arc,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.04367360280478
222,Les quatre cents coups,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.043613999175276
223,Andrei Rublev,1966,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",8.043231943991719
224,Hotel Rwanda,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.042646633200832
