name,address,cost_per_two,timings,category,cusine,detailed_address,featured_in,discount
Mr. Singh's Cafe,"Sector 25, Gandhinagar",₹300,11am – 11pm (Mon-Sun),Quick Bites,Fast Food," Shop 3, Ground Floor, Block 230, Sector 24, Near Sector 25, Gandhinagar",,NULL
Yuvi The Cafe,Infocity,₹300,8am – 11pm (Mon-Sun),Café,"Sandwich,Fast Food,North Indian,South Indian,Chinese"," Shop 17, Super Mall 1, Near GH 0 Circle, Infocity, Gandhinagar",,NULL
Kulchas And More,Airport Gandhinagar Highway,₹250,11am – 11pm (Mon-Sun),Quick Bites,"Street Food,North Indian"," 18, Radhe Square Complex, Near Reliance Chokadi, Gandhinagar - Kudasan Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
The Fusion Feast,Infocity,₹500,11am – 2am (Mon-Sun),NULL,"North Indian,Fast Food"," 219, Radhe Square, Reliance Circle, Infocity, Gandhinagar",,NULL
A1-  Food Point,Airport Gandhinagar Highway,₹400,11am – 11pm (Mon-Sun),Quick Bites,"Chinese,North Indian,Street Food,Pizza"," B 14, Krushnakunj Complex, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Batuk Sweet Mart,"Sector 6, Gandhinagar",₹200,9am – 10pm (Mon-Sun),Sweet Shop,Mithai," 6, Apna Bazaar, Gh 2, Sector 6, Gandhinagar",,NULL
Havmor - The Eatery,Infocity,₹700,10:30am – 6:30pm (Mon-Sun),Quick Bites,"Pizza,Sandwich,Fast Food,Biryani,Wraps,Beverages"," 8, Amenity Building, Behind Gift Tower, Gift City, Infocity, Gandhinagar",,NULL
7 Each Pizza,"Sector 21, Gandhinagar",₹150,10am – 9pm (Mon-Sun),Quick Bites,Pizza," Plot 493/2, Lal Bhuvan Complex, Near Gh-6, Sector 21, Gandhinagar",,NULL
Jiya Fast Food,"Sector 16, Gandhinagar",₹200,8am – 7pm (Mon-Sun),Quick Bites,Fast Food," Pathnagar Yojna Bhavan, Sector 16, Gandhinagar",,NULL
Gandhinagar Nu Manek Chowk,Airport Gandhinagar Highway,₹500,11am – 11:45pm (Mon-Sun),Casual Dining,"Chinese,Gujarati,North Indian,South Indian"," Raksha Shakti Circle-Dholakuva Circle, Near Jognimata Temple, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Heer Night Food Zone,Airport Gandhinagar Highway,₹300,7pm – 3am (Mon-Sun),NULL,"North Indian,Chinese"," Shop 7, Pramukh Oasis, Sargasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
I M Vadapav,Infocity,₹250,11am – 10:45pm (Mon-Sun),Quick Bites,"Street Food,Fast Food"," 15, Ground Floor, Pramukh Associates, Tangent Complex, Near Sargasan Circle, Infocity, Gandhinagar",,NULL
Royal Cafe,Airport Gandhinagar Highway,₹400,11am – 11pm (Mon-Sun),Quick Bites,"Fast Food,Beverages"," B 2, Business Park, PDPU Road, Raysan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Sadasya Bhojnalaya,"Sector 21, Gandhinagar",₹150,"11am – 3pm, 7pm – 11pm (Mon-Sun)",Quick Bites,Gujarati," MLA Quaters, CH 5, Sector 21, Gandhinagar",,NULL
Shreenath Snacks,Airport Gandhinagar Highway,₹150,8am – 11pm (Mon-Sun),Quick Bites,"Street Food,Sandwich"," 33, Radhe Square, Reliance Crossroad, Near Kabir World, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Chai G,"Sector 11, Gandhinagar",₹300,24 Hours (Mon-Sun),Quick Bites,"Fast Food,Beverages"," Shop 6, Chip Typs Shopping Center Pop, Khodiyar Temple, Civil Campus, Sector 12, Near Sector 11, Gandhinagar",,20% off on all orders above ₹150
Bhaiyas Quick Bites,"Sector 11, Gandhinagar",₹400,10am – 11pm (Mon-Sun),Quick Bites,"Fast Food,Beverages"," Shop 5, Shopping Complex, Sector 9, Near Sector 11, Gandhinagar",,NULL
New Parampara Garden Restaurant,"Sector 25, Gandhinagar","₹1,000","10:30am – 3pm, 6:30pm – 11pm (Mon-Sun)",Casual Dining,"North Indian,Chinese"," Sector 26, Gandhinagar Mansa Highway, Opposite Mahakali Mataji Mandir, Sector 25, Gandhinagar",,NULL
Radhe - Sukhadia Sweet Mart,"Sector 25, Gandhinagar",₹250,8:30am – 9:30pm (Mon-Sun),Sweet Shop,"Mithai,Fast Food,Street Food"," 307, Radha Sadan, GH-6 Circle, Sector 29, Near Sector 25, Gandhinagar",,NULL
Sadda Tandoor,Airport Gandhinagar Highway,₹500,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",Quick Bites,"North Indian,Mughlai"," B-56/57, Pramukh Arcade, Near Reliance Cross Road, Urjanagar 1, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
A2 to P2 Paratha,"The Spicy Street Road, Airport Gandhinagar Highway",₹200,3pm – 12midnight (Mon-Sun),Food Court,North Indian," Stall 16, The Spicy Street Road, Opposite Nagraj Party Plot, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Hot And Cool Cafe,Infocity,₹250,7am – 9pm (Mon-Sun),Quick Bites,"Fast Food,Street Food"," B10, Swagat Rainforest 2, Kudasan, Near Aastha Supermarket, Infocity, Gandhinagar",,NULL
Gummy Baker's,"Sector 21, Gandhinagar",₹400,11am – 10pm (Mon-Sun),Bakery,Bakery," B-24, District Shopping Center, Near Reliance Mart, Sector 21, Gandhinagar",,NULL
94 MM Bengali Restaurant,Infocity,₹450,11am – 11:30pm (Mon-Sun),Quick Bites,"North Indian,Bengali"," B 120, 1st Floor, Swagat Rain Forest 2 Village, Kudasan, Infocity, Gandhinagar",,NULL
Sangam,Infocity,"₹1,600",11am – 9pm (Mon-Sun),Casual Dining,"North Indian,Continental,Gujarati,Fast Food,Desserts,Beverages"," Building 53 F, Block 53, Road 5C, Zone 5, Gift City, Infocity, Gandhinagar",,NULL
The Shake Maker,Airport Gandhinagar Highway,₹250,11am – 11pm (Mon-Sun),Beverage Shop,"Desserts,Beverages"," B-58, Pramukh Arcade, Near Middle Town Hotel, Reliance Chokdi, At-Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Pramukh Food Point,Airport Gandhinagar Highway,₹250,11am – 11pm (Mon-Sun),Quick Bites,"Chinese,Street Food,Fast Food"," Shop C 16, Radhe Arced, Opposite Pratik Mall, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Chatko,Airport Gandhinagar Highway,₹200,8am – 10pm (Mon-Sun),Quick Bites,South Indian," F 3 & 4, Swagat Rainforest 1, Kudasan Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Aaru's Restaurant,Airport Gandhinagar Highway,₹700,"11am – 3pm, 7pm – 11pm (Mon-Sun)",Quick Bites,"North Indian,Italian,Chinese"," Kanan Farms, Near Mother Dairy, Bhat, Airport Gandhinagar Highway, Gandhinagar",,NULL
Gulalwadi Fast food,"Sector 16, Gandhinagar",₹200,6am – 10:30pm (Mon-Sun),Quick Bites,"Street Food,Fast Food"," A 12, Plot 296, CPD Complex, Sector 16, Gandhinagar",,NULL
Chinese Hut,Airport Gandhinagar Highway,₹300,12noon – 12midnight (Mon-Sun),Quick Bites,Chinese," Foodie's Den, Opposite Nagraj Party Plot, Kudasan Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Punjab Ka Tadka,Infocity,₹300,10am – 1am (Mon-Sun),NULL,"North Indian,Chinese"," 108, First Floor, Tangent Complex, Near Sardar Cross Road, Village Sargasan, Infocity, Gandhinagar",,NULL
Khana Khazana,Infocity,₹350,"7am – 3pm, 6pm – 11pm (Mon-Sun)",NULL,"North Indian,Chinese"," B/12, Pramukh Arcade 1, Near Relaince Circle, Infocity, Gandhinagar",,NULL
Thali Adda,Infocity,₹300,"11am – 3pm, 6:30pm – 11:30pm (Mon-Sun)",Quick Bites,North Indian," B-80, Pramukh Arcade, Reliance Road, Kudasan, Infocity, Gandhinagar",,NULL
Food Filleer,Infocity,₹150,11am – 11pm (Mon-Sun),Quick Bites,Fast Food," Shop 15, Ground Floor, Radhe Signature, Kudasan, Opposite Sahjanand City, Infocity, Gandhinagar",,20% off on your first order
Karnavati Dabeli,Airport Gandhinagar Highway,₹200,9am – 10pm (Mon-Sun),Quick Bites,"Street Food,Fast Food"," At 5, Atira B, Sargasan Char Rasta, Sargasan, Airport Gandhinagar Highway, Gandhinagar",,10% off on your first order
Chula Dhosa Hut,Airport Gandhinagar Highway,₹400,"11am – 2:30pm, 7pm – 12midnight (Mon-Sun)",Food Court,South Indian," Foodie's Den, Opposite Nagraj Party Plot, Kudasan Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Manmohan Kharek Centre,"Sector 16, Gandhinagar",₹350,"11am – 3pm, 6pm – 11pm (Mon-Sun)",Quick Bites,"North Indian,Street Food,Chinese"," Stall 40, Food Court, Near G6, Sector 16, Gandhinagar",,NULL
Hot And Spicy,Airport Gandhinagar Highway,₹300,11am – 11pm (Mon-Sun),NULL,Fast Food," Shop 6, Shree Rang Society 2, PDPU Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Sajan,"Sector 16, Gandhinagar",₹300,"11am – 3pm, 7pm – 10pm (Mon-Sun)",Quick Bites,"North Indian,Gujarati"," Plot 382, Basement, Near Shalimar Cinema, Sector 16, Gandhinagar",,NULL
Lunchbox,Airport Gandhinagar Highway,₹400,9am – 1am (Mon-Sun),NULL,"Chinese,North Indian,Desserts,Beverages", Delivery Only,,NULL
Krishna Fast Food,"Chopati, Sector 16",₹450,11am – 11pm (Mon-Sun),Food Court,"South Indian,Chinese,North Indian,Street Food"," 26, Chopati, GH -5, Sector 16, Gandhinagar",,NULL
Yummy For Tummy,Airport Gandhinagar Highway,₹450,"10:30am – 3pm, 7pm – 11pm (Mon-Sun)",Quick Bites,"Gujarati,North Indian,Chinese"," 26, Radhe Square, Reliance Cross Road, Kudasan Airport Gandhinagar Highway, Gandhinagar",,NULL
Shreeji Bhojnalay,Infocity,₹200,"11:30am – 2:30pm, 7pm – 10pm (Mon-Sun)",Quick Bites,Gujarati," Shop 15, Super Mall 1, Near Gh 0 Circle, Infocity, Gandhinagar",,NULL
Shivansh Food Zone,"Sector 7, Gandhinagar",₹200,8am – 11pm (Mon-Sun),NULL,Gujarati," P 512/1, Sector 8B, Near CH 2 Circle, Near Sector 7, Gandhinagar",,NULL
The Biryani Life,Airport Gandhinagar Highway,₹350,10am – 11pm (Mon-Sun),NULL,"Biryani,North Indian", Delivery Only,,10% off on your first order
Om Shivshakti Snacks,"Sector 11, Gandhinagar",₹150,10am – 8pm (Mon-Sun),Quick Bites,"Fast Food,Street Food"," Megh Malhar, Sector 11, Gandhinagar",,NULL
Jay Gatod Snacks,Infocity,₹200,"11am – 3pm, 7pm – 11pm (Mon-Sun)",Quick Bites,"Chinese,Gujarati"," Opposite Santur Residency, Pramukhnagar Road, Sargasan, Infocity, Gandhinagar",,NULL
Mother S Idli,Airport Gandhinagar Highway,₹250,"8am – 12noon, 6pm – 10:30pm (Mon-Sun)",Quick Bites,South Indian," A-28, Pramukh Arcade, Near Reliance Cross Road, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Chef Iffi's Cafe,Airport Gandhinagar Highway,₹400,11am – 11pm (Mon-Sun),Quick Bites,"Fast Food,Pizza,Burger,Sandwich"," Shop 1, Radhe Arcade, Near Reliance Circle, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Shahi Fry Centre,Airport Gandhinagar Highway,₹350,"6pm – 11:30pm (Mon, Wed), 6pm – 12midnight (Tue...",Food Court,North Indian," PDPU Road, Raysan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Eggetarian,Airport Gandhinagar Highway,₹300,11am – 11pm (Mon-Sun),Quick Bites,Fast Food," Shop 5, Pramukh Corporate, PDPU Road, Raysan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Whocare Food Point,Airport Gandhinagar Highway,₹350,10am – 11pm (Mon-Sun),NULL,"North Indian,South Indian,Fast Food,Chinese,Street Food"," 292, Randesan Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Shree World of Lassi & Ice Cream,Airport Gandhinagar Highway,₹200,10:30am – 10pm (Mon-Sun),Dessert Parlor,"Desserts,Beverages"," 14, Shyam Shukan Complex, Near Raisan Petrol Pump, Airport Gandhinagar Highway, Gandhinagar",,NULL
The Cafe Time,Airport Gandhinagar Highway,₹200,11am – 11pm (Mon-Sun),Quick Bites,"Fast Food,Beverages,Italian"," Plot 276, PDPU Road, Raysan, Near Radhe Parlour, Airport Gandhinagar Highway, Gandhinagar",,15% off on your first order
9834 The Fruit Truck,Airport Gandhinagar Highway,₹500,11am – 11pm (Mon-Sun),Beverage Shop,"Juices,Beverages,Healthy Food,Desserts"," Shop 135, First Floor, Radhe Square, Reliance Chowk, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Pizza Point,Airport Gandhinagar Highway,₹500,11am – 11:30pm (Mon-Sun),Quick Bites,"Pizza,Fast Food"," Bhat, Near Mother Dairy, Airport Gandhinagar Highway, Gandhinagar",,NULL
Spice Craft,Infocity,₹400,"11am – 3pm, 7pm – 11pm (Mon-Sun)",Quick Bites,"North Indian,Chinese,Gujarati"," 108, Supermall Annexe, Gate 1, Infocity, Gandhinagar",,NULL
Raju Omlet Centre,Airport Gandhinagar Highway,₹150,4pm – 11pm (Mon-Sun),Quick Bites,Street Food," Ground Floor 7, Radhe Fortune Plot, Near Apollo Circle, Airport Gandhinagar Highway, Gandhinagar",,NULL
Haalo Kathiyawad,"Sector 25, Gandhinagar",₹400,"11:30am – 3pm, 7pm – 11pm (Mon-Sun)",Quick Bites,"North Indian,Gujarati"," C-14, GIDC, Sector 25, Gandhinagar",,NULL
Danny's Coffee Bar,Airport Gandhinagar Highway,₹400,11am – 11pm (Mon-Sun),Quick Bites,"Fast Food,Beverages"," PDPU Road, Bhaijipura Patiya, Ahmedabad",,NULL
Savariya,"Chopati, Sector 16",₹400,11am – 11pm (Mon-Sun),Food Court,"Chinese,North Indian,Gujarati"," 38, Chopati, GH -5, Sector 16, Gandhinagar",,NULL
Raju Parlour,"Sector 11, Gandhinagar",₹300,10am – 8pm (Mon-Sun),NULL,"Sandwich,Beverages"," Shop 1/A, Plot 17, Ground Floor, Cinemax (Sumancity), Sector 11, Gandhinagar",,NULL
Fitsteps,Airport Gandhinagar Highway,₹300,5am – 12midnight (Mon-Sun),NULL,Healthy Food," D-107, Vedika E-Series, Bhaijipura Patia, PDPU Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Jay Matarani Parivaar,Infocity,₹400,"12noon – 3pm, 7pm – 10pm (Mon-Sun)",Quick Bites,North Indian," 133, Super Mall 1, Infocity, Gandhinagar",,NULL
Patel Ice Cream Cafe,Airport Gandhinagar Highway,₹400,12noon – 12midnight (Mon-Sun),Café,"Ice Cream,Beverages"," B-9, 10, Krushnakunj Complex, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
McCafe by McDonald's,Infocity,₹500,11am – 11pm (Mon-Sun),NULL,"Coffee,Tea,Beverages,Desserts", Delivery Only,,NULL
The Taste Factory,Airport Gandhinagar Highway,₹400,2:30pm – 2am (Mon-Sun),Quick Bites,"Fast Food,Street Food"," Shop C-02, Business Park, Opposite Silicon Hills, Pdpu Road, Raysan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Yubbys Restaurant,Airport Gandhinagar Highway,₹350,12noon – 11:30pm (Mon-Sun),Quick Bites,"Fast Food,North Indian,Chinese"," Shop 4, Pramukh Corporate, PDPU Road, Raysan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Pattradu Khaman House Farsan,"Sector 6, Gandhinagar",₹200,11am – 11pm (Mon-Sun),NULL,Fast Food," Akme House, Apna Bazar, Near Nikanth Super Market, GH-2, Sector 6, Gandhinagar",,NULL
KV Fruits & Spice,"The Spicy Street Road, Airport Gandhinagar Highway",₹250,6:30pm – 11:55pm (Mon-Sun),Food Court,"Juices,Beverages"," Stall 17, The Spicy Street Road, Opposite Nagraj Party Plot, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Poco Bowls,Airport Gandhinagar Highway,₹300,"12midnight – 2:30am, 11:30am – 3:30pm, 7pm –...",Quick Bites,North Indian," 218, Pramukh Corporate, Pdpu Road, Raysan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Kobra Foods And Restaurant,Airport Gandhinagar Highway,₹600,"11am – 2pm, 6pm – 3am (Mon-Sun)",Quick Bites,North Indian," Shop 7, Pramukh Cypus, Opposite Aska Hospital, Sargasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Northan Tadka Restaurant,Airport Gandhinagar Highway,₹350,"10:30am – 3pm, 6pm – 11pm (Mon-Sun)",Quick Bites,"North Indian,Chinese"," 312, 3rd Floor, Shyam Shukan Residency, PdDPU Road, Raisha, Airport Gandhinagar Highway, Gandhinagar",,NULL
Hunger's Den,"The Spicy Street Road, Airport Gandhinagar Highway",₹350,6:30pm – 11:30pm (Mon-Sun),Food Court,"South Indian,Street Food"," Stall 12, The Spicy Street Road, Opposite Nagraj Party Plot, Kudasan Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Stone Baked Pizza,"The Spicy Street, Airport Gandhinagar Highway",₹300,7pm – 11:30pm (Mon-Sun),Food Court,Pizza," Stall 15, The Spicy Street Road, Opposite Nagraj Party Plot, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Bunty Paji Da Dhaba,Airport Gandhinagar Highway,₹200,"11am – 3pm, 6pm – 12midnight...",Dhaba,"North Indian,Chinese"," LS 112, Village Bhat, SP Ring Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Babita Samosa,Airport Gandhinagar Highway,₹150,9am – 11pm (Mon-Sun),Quick Bites,"Street Food,North Indian"," Shop 19, Radhe 111 Society, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
CHASKO PUNJABI TADKA,"The Spicy Street Road, Airport Gandhinagar Highway",₹400,5pm – 12midnight (Mon-Sun),Food Court,"North Indian,Maharashtrian"," Stall 24, The Spicy Street Food, Opposite Nagraj Party Plot, Kudasan Road, Urjanagar, Airport Gandhinagar Highway, Gandhinagar",,NULL
Umiya Khaman Shop,Airport Gandhinagar Highway,₹200,10:30am – 11pm (Mon-Sun),NULL,Gujarati," 65, Radhe Square, Reliance Cross Road, Dholakua, Airport Gandhinagar Highway, Gandhinagar",,NULL
Gopal Krishna Dairy,"Sector 21, Gandhinagar",₹150,6am – 10:30pm (Mon-Sun),Dessert Parlor,"Desserts,Mithai"," B-1, District Shopping Centre, Sector 21, Gandhinagar",,NULL
Radha Ki Rasoi,Airport Gandhinagar Highway,₹300,11am – 11pm (Mon-Sun),Quick Bites,"North Indian,Biryani,Chinese"," Shop 10, Pramukh Corporate, PDPU Road, Raysan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Dilli Top99,Airport Gandhinagar Highway,₹600,12noon – 3am (Mon-Sun),Quick Bites,"North Indian,Mughlai"," Near Apollo Circle, Ring Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
La Foodies Paradise,Airport Gandhinagar Highway,₹500,11am – 11pm (Mon-Sun),NULL,"Fast Food,Beverages"," Shop 1, Kanam Residency 2, DA-IICT Cross Roads, Near Kanam Party Plot, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Bombay Bhaji Pav,Airport Gandhinagar Highway,₹200,7am – 12midnight (Mon-Sun),NULL,Fast Food," 110, 1st Floor, Swagat Rainforest 2, Near KTM Showroom, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Food Mohalla,Airport Gandhinagar Highway,₹550,10am – 12midnight (Mon-Sun),Quick Bites,"Sandwich,Fast Food,Street Food,Beverages"," Shop 10, Shyam Sukan Complex, Opposite PDPU Road, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Govinda Snacks,Airport Gandhinagar Highway,₹250,"8am – 10am (Mon),8am – 10pm (Tue-Sun)",Quick Bites,"Sandwich,Fast Food,Street Food,Beverages"," Shop 8, Sarthak Heaven, Near Raysan Petrol Pump, Airport Gandhinagar Highway, Gandhinagar",,NULL
Shiv BhajiPav & Pulav,"The Spicy Street, Airport Gandhinagar Highway",₹300,11am – 11pm (Mon-Sun),Food Court,"Street Food,Fast Food,Biryani"," Stall 20 & 21, The Spicy Street Road, Opposite Nagraj Party Plot, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Tahuko Chehar Khana Khajana,Airport Gandhinagar Highway,₹350,6pm – 2am (Mon-Sun),NULL,"North Indian,Gujarati"," Saptrishi Complex, Near Reliance Cross Road, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Karm Dining Hall,Airport Gandhinagar Highway,₹300,11am – 11pm (Mon-Sun),Quick Bites,Gujarati," 129, Sunrise Arcade, Near Nexa Showroom, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Patel Special Dalbati,"Sector 21, Gandhinagar",₹300,11am – 11pm (Mon-Sun),Quick Bites,Gujarati," NH 48, Chiloda, Sector 21, Gandhinagar",,NULL
Ashapura Bhojanalya,Airport Gandhinagar Highway,₹300,"11am – 3:30pm, 7pm – 12midnight (Mon-Sun)",Bhojanalya,"Gujarati,North Indian"," Apollo Circle, S P Ring Road, Opposite Radhe Fortune, Airport Gandhinagar Highway, Gandhinagar",,NULL
Bansi Sweet Mart,"Sector 21, Gandhinagar",₹150,8am – 9pm (Mon-Sun),Sweet Shop,Mithai," A-5, District Shopping Centre, Opposite Reliance Fresh, Sector 21, Gandhinagar",,NULL
Shri Matangi Bhojanalay,Airport Gandhinagar Highway,₹200,11am – 11pm (Mon-Sun),Bhojanalya,North Indian," Shop 27 & 28, Radhe Square, Near Reliance, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Tealogy,Airport Gandhinagar Highway,₹300,11am – 11pm (Mon-Sun),Quick Bites,"Tea,Fast Food,Street Food,Beverages"," B/23, Ground Floor, Pramukh Arcade, Behind Infocity, Dholakuva, Mansa, Airport Gandhinagar Highway, Gandhinagar",,NULL
A-One Maggi & Pasta,Airport Gandhinagar Highway,₹300,7am – 12midnight (Mon-Sun),Quick Bites,Fast Food," 110, 1st Floor, Swagat Rainforest 2, Near KTM Showroom, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Punjab Grill,Airport Gandhinagar Highway,₹500,12noon – 11pm (Mon-Sun),Quick Bites,North Indian," Foodie's Den, Opposite Nagraj Party Plot, Kudasan Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Janta Panipuri House,"The Spicy Street Road, Airport Gandhinagar Highway",₹150,6:30pm – 11pm (Mon-Sun),Kiosk,"Street Food,Beverages"," The Spicy Street Road, Opposite Nagraj Party Plot, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Karnavati Dabeli Centre,Airport Gandhinagar Highway,₹150,7am – 12midnight (Mon-Sun),NULL,Gujarati," 110, 1st Floor, Swagat Rainforest 2, Near KTM Showroom, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Heerbaa Foods,Airport Gandhinagar Highway,₹500,11am – 11pm (Mon-Sun),NULL,North Indian," Pramukh Cypus, Opposite Aska Hospital, Sargasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Egg Hub,Infocity,₹200,"11am – 3pm, 6:30pm – 11:30pm (Mon-Sun)",NULL,"Fast Food,North Indian"," Shop 1 A, Shreerang Nanocity 2, Sargasan, Infocity, Gandhinagar",,NULL
Vadilal Scoop Shop,Airport Gandhinagar Highway,₹250,"11am – 10pm (Mon),11am – 11pm (Tue-Sun)",Dessert Parlor,Ice Cream," Near Tapovan Circle, Sardar Patel Ring Road, Amiyapur, Airport Gandhinagar Highway, Gandhinagar",,NULL
Ad Foodholic,"Sector 16, Gandhinagar",₹300,11am – 11pm (Mon-Sun),NULL,Fast Food," Plot 442, Ground Floor, Sector 16, Gandhinagar",,NULL
Galaxy Dosa,Airport Gandhinagar Highway,₹250,7am – 11pm (Mon-Sun),Quick Bites,"South Indian,Street Food"," Shop 12, Sarthak Heaven, Besides Umiya Nursery, Raisan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Prayan's Cafe,Airport Gandhinagar Highway,₹300,7am – 12midnight (Mon-Sun),Quick Bites,"Fast Food,Beverages"," 110, 1st Floor, Swagat Rainforest 2, Near KTM Showroom, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Prem Mevad Ice Cream,"Chopati, Sector 16",₹150,12noon – 12midnight (Mon-Sun),Dessert Parlor,"Juices,Beverages"," GH -5, Chopati, Sector 16, Gandhinagar",,NULL
Tummy Fillers,Airport Gandhinagar Highway,₹400,11am – 11pm (Mon-Sun),Quick Bites,"Burger,Fast Food,Pizza,Beverages"," Shree Rang Mall & Nagar Randesan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Virat Fast Food,Airport Gandhinagar Highway,₹250,11am – 11pm (Mon-Sun),Quick Bites,"Fast Food,North Indian"," A1, Suyash Status, Randesan, Near Urjanagar 2, Airport Gandhinagar Highway, Gandhinagar",,NULL
Dosa Camp,"The Spicy Street Road, Airport Gandhinagar Highway",₹200,5pm – 12midnight (Mon-Sun),Food Court,South Indian," Stall 28 & 29, The Spicy Street Road, Opposite Nagraj Party Plot, Kudasan Road, Urjanagar, Airport Gandhinagar Highway, Gandhinagar",,NULL
Cake Express,"Sector 25, Gandhinagar",₹400,"9am – 10pm (Mon-Tue),11am – 8pm (Wed-Sun)",Bakery,Bakery, Delivery Only,,10% off on all orders above ₹199
Egg Steps,Infocity,₹300,7am – 8pm (Mon-Sun),NULL,"North Indian,Fast Food"," Shop 11, A Wing, Swagat Rainforest 2, Urjanagar, Kudasan, Infocity, Gandhinagar",,NULL
Jay Mahadev,"Sector 21, Gandhinagar",₹250,11am – 11pm (Mon-Sun),Quick Bites,"North Indian,South Indian"," 865 - 866, Vishwakarma Shopping, Indi Sector 21, Gandhinagar",,NULL
New Karnavati Dabeli And Vadapav,Infocity,₹150,11am – 11pm (Mon-Sun),Quick Bites,Fast Food," Shop 34, Satyamev Royal, Sargasan, Near Tilak Banglow, Infocity, Gandhinagar",,NULL
Burgerstry,Airport Gandhinagar Highway,₹200,10am – 10pm (Mon-Sun),NULL,"Burger,Fast Food"," 110, 1st Floor, Near KTM Showroom, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Choice Of Pizzas,Airport Gandhinagar Highway,₹450,7pm – 1am (Mon-Sun),Food Court,"Pizza,Fast Food"," Shop 22, Opposite Nagaraj Party Plot, Kudasan Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Paratha House,"Sector 25, Gandhinagar",₹100,8am – 11pm (Mon-Sun),Quick Bites,North Indian," Near GIDC, Sector 26, Gandhinagar-Kolabada Road, Sector 25, Gandhinagar",,NULL
Mr.Puff,Infocity,₹250,10am – 10pm (Mon-Sun),Bakery,"Bakery,Fast Food"," 47, Super Mall 2, GH-0, Infocity, Gandhinagar",,NULL
Non Veg Point,Infocity,₹500,11am – 11pm (Mon-Sun),Quick Bites,"North Indian,Mughlai"," Gift City Road, Dholakuva, Infocity, Gandhinagar",,NULL
Nasto,Airport Gandhinagar Highway,₹400,8am – 11pm (Mon-Sun),Quick Bites,"Fast Food,Street Food,Chinese"," Shop 16, Radhe Square Building, Kudasan, Reliance Crossroads, Airport Gandhinagar Highway, Gandhinagar",,NULL
Laxmi Bake N Cake,Airport Gandhinagar Highway,₹300,6:30am – 10:30pm (Mon-Sun),Bakery,Bakery," Shop 12, Radhe Crystal, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
