name,address,cost_per_two,timings,category,cusine,detailed_address,featured_in,discount
Cafe Moj Masti,Airport Gandhinagar Highway,₹400,10am – 12midnight (Mon-Sun),Café,Cafe," 20-21-22, Pramukh Cyprus, Kudasan, Gandhinagar, Airport Gandhinagar Highway, Gandhinagar",,NULL
Kutchi King,Infocity,₹300,10am – 11pm (Mon-Sun),Quick Bites,"Fast Food,Street Food"," 6, Supper Mall 1, Infocity, Gandhinagar",,NULL
Vrundavan Garden Restaurant,Airport Gandhinagar Highway,₹600,11am – 11pm (Mon-Sun),Casual Dining,"Gujarati,South Indian,Fast Food,North Indian"," Koba Circle, Airport Gandhinagar Highway, Gandhinagar",,NULL
Dilkhush Foodies Point,Airport Gandhinagar Highway,₹300,11am – 12noon (Mon-Sun),Quick Bites,"North Indian,Street Food"," Shop 10, Pramukh Corporate, PDPU Road, Raysan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Hogger's Den,Airport Gandhinagar Highway,₹400,11:15am – 2am (Mon-Sun),Casual Dining,"Fast Food,Wraps"," Shop 3, Sunshine Heights 1, Opposite Raysan Petrol Pump, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Shree Adarsh Bhojanalay,"Sector 16, Gandhinagar",₹300,"11am – 3pm, 7pm – 10pm (Mon, Tue, Wed, Fri, Sat...",Quick Bites,Gujarati," Near IOB, Sector 16, Gandhinagar",,NULL
Kabhi B,Infocity,₹300,11am – 10pm (Mon-Sun),Bakery,"Bakery,Desserts"," G-41, Super Mall 1, Infocity, Gandhinagar",,NULL
The Kitchen,Airport Gandhinagar Highway,₹400,11am – 4am (Mon-Sun),Quick Bites,"North Indian,Fast Food,Chinese"," C 9, Business Park, PDPU Road, Raysan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Tea Post,Airport Gandhinagar Highway,₹250,8:30am – 11pm (Mon-Sun),Quick Bites,"Tea,Beverages,Sandwich"," 39, Radhe Square, Opposite Pramukh Arcade, Reliance Cross Roads, Airport Gandhinagar Highway, Gandhinagar",,NULL
Milkbar And Co.,Airport Gandhinagar Highway,₹300,11am – 11pm (Mon-Sun),Beverage Shop,Beverages," Shop 3, Parmukkh Arcade, Near Reliance Circle, Kudasan, Airport Gandhinagar Highway",,NULL
